patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day,mouse_id,patch_size,source_file,parsed_date
15,8,2,1,2,28,140,Week23_Day2 (24.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_24.6.25.csv,2025-06-24
16,8,9,1,9,15,907,Week23_Day2 (24.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_24.6.25.csv,2025-06-24
17,4,14,1,14,18,2051,Week23_Day2 (24.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day2_24.6.25.csv,2025-06-24
18,8,4,1,4,8,341,Week23_Day2 (24.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_24.6.25.csv,2025-06-24
0,4,5,1,5,12,230,Week23_Day3 (25.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_25.6.25.csv,2025-06-25
1,4,1,1,1,77,0,Week23_Day3 (25.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_25.6.25.csv,2025-06-25
2,4,8,1,8,42,623,Week23_Day3 (25.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_25.6.25.csv,2025-06-25
3,8,2,1,2,20,54,Week23_Day3 (25.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_25.6.25.csv,2025-06-25
4,8,9,1,9,9,549,Week23_Day3 (25.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_25.6.25.csv,2025-06-25
5,4,0,1,0,NA,0,Week23_Day3 (25.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_25.6.25.csv,2025-06-25
6,3,0,1,0,NA,0,Week23_Day3 (25.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_25.6.25.csv,2025-06-25
7,4,19,1,19,24,1219,Week23_Day3 (25.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day3_25.6.25.csv,2025-06-25
8,8,0,1,0,NA,0,Week23_Day3 (25.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_25.6.25.csv,2025-06-25
9,8,0,1,0,NA,0,Week23_Day3 (25.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_25.6.25.csv,2025-06-25
10,8,5,1,5,9,322,Week23_Day3 (25.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day3_25.6.25.csv,2025-06-25
0,3,2,1,2,15,23,Week23_Day4 (26.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day4_26.6.25.csv,2025-06-26
