patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day,mouse_id,patch_size,source_file,parsed_date
3,8,2,1,2,9,132,M2_Week23_Day1 (23.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
4,8,2,1,2,14,111,M2_Week23_Day1 (23.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
5,8,5,1,5,9,191,M2_Week23_Day1 (23.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
6,4,7,1,7,7,372,M2_Week23_Day1 (23.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
7,4,1,1,1,6,0,M2_Week23_Day1 (23.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
8,4,0,1,0,NA,0,M2_Week23_Day1 (23.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
9,4,1,1,1,9,0,M2_Week23_Day1 (23.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
10,4,14,1,14,6,512,M2_Week23_Day1 (23.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
11,8,3,1,3,13,158,M2_Week23_Day1 (23.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
12,8,1,1,1,9,0,M2_Week23_Day1 (23.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
13,8,1,1,1,8,0,M2_Week23_Day1 (23.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
14,8,2,1,2,8,90,M2_Week23_Day1 (23.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
15,4,3,1,3,68,10,M2_Week23_Day1 (23.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
16,4,7,1,7,6,500,M2_Week23_Day1 (23.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
17,4,11,1,11,23,791,M2_Week23_Day1 (23.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
18,8,0,1,0,NA,0,M2_Week23_Day1 (23.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
19,8,20,1,20,37,1998,M2_Week23_Day1 (23.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
20,4,8,1,8,5,1852,M2_Week23_Day1 (23.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
21,4,14,1,14,5,694,M2_Week23_Day1 (23.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
